Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin %,Gross income,Rating
832-39-7516,C,Naypyitaw,Normal,Male,Electronic accessories,55.1,6,31.24,624.83,2023-09-08,13:38,Credit card,593.59,4.74,31.241400000000006,4.8
461-45-7956,A,Naypyitaw,Normal,Female,Sports and travel,55.1,9,31.24,624.84,2023-04-01,12:32,Credit card,593.6,3.68,31.242000000000004,4.8
706-65-7756,C,Naypyitaw,Member,Male,Electronic accessories,55.1,1,5.21,104.15,2023-09-22,16:28,Ewallet,98.94,4.74,5.207400000000001,4.8
520-19-3558,C,Naypyitaw,Normal,Female,Food and beverages,55.1,1,8.68,173.58,2023-05-14,18:28,Credit card,164.9,7.37,8.679,4.8
898-19-2389,A,Yangon,Member,Male,Health and beauty,55.1,8,30.55,610.95,2023-03-11,16:20,Cash,580.4,5.79,30.54755,4.8
392-24-9100,A,Naypyitaw,Member,Female,Home and lifestyle,55.1,3,19.53,390.51,2023-07-27,10:34,Cash,370.98,6.84,19.5255,4.8
159-10-5183,C,Mandalay,Member,Female,Fashion accessories,55.1,5,8.1,161.99,2023-02-23,19:24,Credit card,153.89,3.16,8.099699999999999,4.8
535-14-5039,B,Mandalay,Member,Male,Fashion accessories,55.1,1,1.62,32.4,2023-08-18,20:52,Credit card,30.78,3.16,1.62015,4.8
468-91-9130,C,Naypyitaw,Normal,Female,Food and beverages,55.1,5,43.39,867.84,2023-10-14,20:39,Ewallet,824.45,7.37,43.392,4.8
833-17-1550,C,Naypyitaw,Member,Female,Health and beauty,55.1,6,28.64,572.76,2023-04-29,18:17,Ewallet,544.12,5.79,28.637950000000007,4.8
315-15-6456,C,Mandalay,Normal,Male,Sports and travel,55.1,8,14.81,296.22,2023-07-24,10:26,Ewallet,281.41,3.68,14.8108,4.8
400-26-1058,C,Mandalay,Normal,Female,Electronic accessories,55.1,3,8.33,166.62,2023-11-18,14:52,Credit card,158.29,4.74,8.331,4.8
293-11-6796,A,Yangon,Normal,Female,Electronic accessories,55.1,3,12.5,249.92,2023-02-25,9:01,Ewallet,237.43,4.74,12.496200000000002,4.8
118-14-3534,C,Mandalay,Normal,Female,Electronic accessories,55.1,9,24.99,499.87,2023-06-21,12:59,Ewallet,474.88,4.74,24.9936,4.8
884-77-8951,B,Mandalay,Member,Male,Sports and travel,55.1,4,7.41,148.11,2023-08-03,18:35,Cash,140.71,3.68,7.4056,4.8
365-10-8559,A,Naypyitaw,Normal,Male,Fashion accessories,55.1,4,12.15,242.99,2023-11-17,19:47,Ewallet,230.84,3.16,12.14955,4.8
124-50-4668,B,Mandalay,Member,Female,Health and beauty,55.1,7,17.82,356.38,2023-11-28,16:52,Cash,338.56,5.79,17.818900000000003,4.8
527-81-6216,B,Yangon,Normal,Male,Sports and travel,55.1,2,5.55,111.08,2023-10-25,8:56,Cash,105.53,3.68,5.554,4.8
645-74-5988,B,Mandalay,Normal,Female,Electronic accessories,55.1,8,22.22,444.32,2023-04-16,8:46,Ewallet,422.11,4.74,22.2162,4.8
413-15-6877,B,Naypyitaw,Member,Female,Food and beverages,55.1,6,52.07,1041.38,2023-12-23,20:02,Cash,989.31,7.37,52.06900000000001,4.8
320-33-4250,A,Naypyitaw,Member,Female,Home and lifestyle,55.1,3,19.53,390.51,2023-11-03,19:30,Credit card,370.98,6.84,19.5255,4.8
303-95-1544,A,Mandalay,Member,Female,Sports and travel,55.1,9,16.66,333.25,2023-05-08,8:45,Credit card,316.59,3.68,16.6624,4.8
532-76-5203,B,Naypyitaw,Normal,Female,Sports and travel,55.1,5,17.36,347.14,2023-01-30,8:05,Ewallet,329.78,3.68,17.356800000000003,4.8
976-73-8329,B,Yangon,Normal,Male,Health and beauty,55.1,8,30.55,610.95,2023-06-10,16:39,Credit card,580.4,5.79,30.54755,4.8
739-17-7900,A,Yangon,Member,Female,Health and beauty,55.1,7,26.73,534.58,2023-06-18,8:15,Cash,507.85,5.79,26.728900000000007,4.8
425-74-9247,A,Mandalay,Member,Male,Sports and travel,55.1,8,14.81,296.22,2023-07-31,13:49,Credit card,281.41,3.68,14.8108,4.8
450-50-9450,A,Mandalay,Member,Male,Electronic accessories,55.1,7,19.44,388.78,2023-11-15,12:02,Ewallet,369.34,4.74,19.4388,4.8
837-53-7811,C,Mandalay,Member,Female,Home and lifestyle,55.1,3,10.41,208.27,2023-07-03,15:56,Ewallet,197.86,6.84,10.41375,4.8
