Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,72.8158802953419,6.559186100374068,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.534957794124896,27.04444306462238,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,16.657382920388702,5.041900947378358,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.520932189682799,4.046664587454209,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,48.47965586482448,7.522124170226972,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,5.148813886313488,15.406242442573951,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,59.368779389990294,8.371559818255298,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.523377333280473,23.86961360632956,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,80.37219377131734,7.42918560700603,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.544714024975305,30.641967706359587,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,79.51507441830167,7.2222967133950045,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,5.008950726212526,31.875927011176536,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,62.75569517233177,6.230731877421423,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.714037945285272,22.3293019946118,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,78.94718345664084,10.698391303130638,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,5.02543862577211,33.19142521098766,8.0
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.99328606516175,1.8998672035436743,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.347967769195898,3.752199245301436,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,57.12214003326703,2.993654978185884,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.750067803593463,7.488680256711779,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,13.091612695480645,3.7769675534556817,2.896,60.816,2/6/2019,18:07,Ewallet,57.92,4.317727238356148,2.9242989388128047,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,27.907480065730496,4.390134406397317,5.102,107.142,3/9/2019,17:03,Cash,102.04,4.345384003377722,4.88530043671617,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,50.07163639711597,5.444059339686613,11.7375,246.4875,2/12/2019,10:25,Ewallet,234.75,5.148988050907181,11.283908067378228,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,40.70518523803895,9.078853622737011,21.595,453.495,2/7/2019,16:48,Ewallet,431.9,4.4183289249622675,20.959927776410726,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,66.83773323184856,10.411150345031377,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.792781602262729,36.555785501316116,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,87.78573413269277,6.510297980898799,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.6772339073323135,27.182829766948622,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,66.2312835614402,6.5528054831782665,24.1255,506.6355,3/11/2019,11:03,Credit card,482.51,4.616517453672181,25.24829618900316,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.96951290016335,6.081534276663155,21.783,457.443,1/1/2019,10:39,Credit card,435.66,5.142698424566923,21.36706400799112,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,53.9258868338329,3.249292978552825,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.306498473205644,7.492556083828363,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,38.61730686999621,1.8135783914343195,4.03,84.63,3/11/2019,15:30,Ewallet,80.6,4.917894939313205,4.25871043304219,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,87.96476461238271,5.19742026724684,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,5.203232794593161,20.588332312397824,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,81.63653397203333,2.8784094044235307,13.197,277.137,3/5/2019,10:40,Ewallet,263.94,4.819207793869567,13.019544902014292,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,31.819840466273853,2.1697584781506123,3.32,69.72,3/15/2019,12:20,Credit card,66.4,5.177926154420789,3.4431347384593423,4.4
