Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin %,Gross income,Rating
832-39-7516,C,Naypyitaw,Normal,Male,Electronic accessories,55.1,6,16.53,347.13,2023-09-08,13:38,Credit card,330.6,5.0,16.53,4.8
461-45-7956,A,Naypyitaw,Normal,Female,Sports and travel,55.1,9,24.8,520.7,2023-04-01,12:32,Credit card,495.9,5.0,24.8,4.8
706-65-7756,C,Naypyitaw,Member,Male,Electronic accessories,55.1,1,2.76,57.86,2023-09-22,16:28,Ewallet,55.1,5.01,2.76,4.8
520-19-3558,C,Naypyitaw,Normal,Female,Food and beverages,55.1,1,2.76,57.86,2023-05-14,18:28,Credit card,55.1,5.01,2.76,4.8
898-19-2389,A,Yangon,Member,Male,Health and beauty,55.1,8,22.04,462.84,2023-03-11,16:20,Cash,440.8,5.0,22.04,4.8
392-24-9100,A,Naypyitaw,Member,Female,Home and lifestyle,55.1,3,8.26,173.56,2023-07-27,10:34,Cash,165.3,5.0,8.26,4.8
159-10-5183,C,Mandalay,Member,Female,Fashion accessories,55.1,5,13.78,289.28,2023-02-23,19:24,Credit card,275.5,5.0,13.78,4.8
535-14-5039,B,Mandalay,Member,Male,Fashion accessories,55.1,1,2.76,57.86,2023-08-18,20:52,Credit card,55.1,5.01,2.76,4.8
468-91-9130,C,Naypyitaw,Normal,Female,Food and beverages,55.1,5,13.78,289.28,2023-10-14,20:39,Ewallet,275.5,5.0,13.78,4.8
833-17-1550,C,Naypyitaw,Member,Female,Health and beauty,55.1,6,16.53,347.13,2023-04-29,18:17,Ewallet,330.6,5.0,16.53,4.8
315-15-6456,C,Mandalay,Normal,Male,Sports and travel,55.1,8,22.04,462.84,2023-07-24,10:26,Ewallet,440.8,5.0,22.04,4.8
400-26-1058,C,Mandalay,Normal,Female,Electronic accessories,55.1,3,8.26,173.56,2023-11-18,14:52,Credit card,165.3,5.0,8.26,4.8
293-11-6796,A,Yangon,Normal,Female,Electronic accessories,55.1,3,8.26,173.56,2023-02-25,9:01,Ewallet,165.3,5.0,8.26,4.8
118-14-3534,C,Mandalay,Normal,Female,Electronic accessories,55.1,9,24.8,520.7,2023-06-21,12:59,Ewallet,495.9,5.0,24.8,4.8
884-77-8951,B,Mandalay,Member,Male,Sports and travel,55.1,4,11.02,231.42,2023-08-03,18:35,Cash,220.4,5.0,11.02,4.8
365-10-8559,A,Naypyitaw,Normal,Male,Fashion accessories,55.1,4,11.02,231.42,2023-11-17,19:47,Ewallet,220.4,5.0,11.02,4.8
124-50-4668,B,Mandalay,Member,Female,Health and beauty,55.1,7,19.28,404.98,2023-11-28,16:52,Cash,385.7,5.0,19.28,4.8
527-81-6216,B,Yangon,Normal,Male,Sports and travel,55.1,2,5.51,115.71,2023-10-25,8:56,Cash,110.2,5.0,5.51,4.8
645-74-5988,B,Mandalay,Normal,Female,Electronic accessories,55.1,8,22.04,462.84,2023-04-16,8:46,Ewallet,440.8,5.0,22.04,4.8
413-15-6877,B,Naypyitaw,Member,Female,Food and beverages,55.1,6,16.53,347.13,2023-12-23,20:02,Cash,330.6,5.0,16.53,4.8
320-33-4250,A,Naypyitaw,Member,Female,Home and lifestyle,55.1,3,8.26,173.56,2023-11-03,19:30,Credit card,165.3,5.0,8.26,4.8
303-95-1544,A,Mandalay,Member,Female,Sports and travel,55.1,9,24.8,520.7,2023-05-08,8:45,Credit card,495.9,5.0,24.8,4.8
532-76-5203,B,Naypyitaw,Normal,Female,Sports and travel,55.1,5,13.78,289.28,2023-01-30,8:05,Ewallet,275.5,5.0,13.78,4.8
976-73-8329,B,Yangon,Normal,Male,Health and beauty,55.1,8,22.04,462.84,2023-06-10,16:39,Credit card,440.8,5.0,22.04,4.8
739-17-7900,A,Yangon,Member,Female,Health and beauty,55.1,7,19.28,404.98,2023-06-18,8:15,Cash,385.7,5.0,19.28,4.8
425-74-9247,A,Mandalay,Member,Male,Sports and travel,55.1,8,22.04,462.84,2023-07-31,13:49,Credit card,440.8,5.0,22.04,4.8
450-50-9450,A,Mandalay,Member,Male,Electronic accessories,55.1,7,19.28,404.98,2023-11-15,12:02,Ewallet,385.7,5.0,19.28,4.8
837-53-7811,C,Mandalay,Member,Female,Home and lifestyle,55.1,3,8.26,173.56,2023-07-03,15:56,Ewallet,165.3,5.0,8.26,4.8
939-79-7152,C,Naypyitaw,Normal,Female,Health and beauty,55.1,2,5.51,115.71,2023-01-23,19:25,Cash,110.2,5.0,5.51,4.8
536-10-5499,C,Yangon,Member,Male,Electronic accessories,55.1,7,19.28,404.98,2023-07-11,8:42,Ewallet,385.7,5.0,19.28,4.8
809-26-5512,B,Yangon,Member,Male,Food and beverages,55.1,3,8.26,173.56,2023-08-09,20:58,Credit card,165.3,5.0,8.26,4.8
404-23-4625,C,Naypyitaw,Member,Male,Health and beauty,55.1,3,8.26,173.56,2023-10-12,19:06,Ewallet,165.3,5.0,8.26,4.8
437-80-4504,B,Yangon,Member,Female,Electronic accessories,55.1,2,5.51,115.71,2023-05-25,16:41,Cash,110.2,5.0,5.51,4.8
609-17-1835,B,Mandalay,Normal,Male,Electronic accessories,55.1,4,11.02,231.42,2023-09-30,19:06,Ewallet,220.4,5.0,11.02,4.8
139-17-7423,C,Mandalay,Member,Female,Home and lifestyle,55.1,8,22.04,462.84,2023-08-04,9:47,Credit card,440.8,5.0,22.04,4.8
942-54-7144,B,Mandalay,Normal,Female,Home and lifestyle,55.1,1,2.76,57.86,2023-07-11,12:50,Cash,55.1,5.01,2.76,4.8
844-57-3196,C,Yangon,Member,Female,Food and beverages,55.1,1,2.76,57.86,2023-08-13,19:06,Credit card,55.1,5.01,2.76,4.8
694-15-4703,C,Mandalay,Member,Male,Electronic accessories,55.1,5,13.78,289.28,2023-03-15,10:46,Cash,275.5,5.0,13.78,4.8
684-47-7969,A,Naypyitaw,Normal,Female,Fashion accessories,55.1,5,13.78,289.28,2023-04-26,8:14,Ewallet,275.5,5.0,13.78,4.8
465-72-4254,C,Naypyitaw,Member,Female,Electronic accessories,55.1,1,2.76,57.86,2023-07-22,11:18,Cash,55.1,5.01,2.76,4.8
326-82-2225,A,Yangon,Normal,Female,Home and lifestyle,55.1,6,16.53,347.13,2023-05-23,13:25,Cash,330.6,5.0,16.53,4.8
298-66-1415,C,Naypyitaw,Normal,Female,Fashion accessories,55.1,1,2.76,57.86,2023-10-31,12:50,Ewallet,55.1,5.01,2.76,4.8
941-73-4391,C,Naypyitaw,Member,Female,Health and beauty,55.1,5,13.78,289.28,2023-02-25,19:05,Credit card,275.5,5.0,13.78,4.8
357-13-5443,A,Yangon,Normal,Male,Health and beauty,55.1,9,24.8,520.7,2023-01-22,8:10,Ewallet,495.9,5.0,24.8,4.8
539-29-7128,A,Mandalay,Normal,Female,Sports and travel,55.1,5,13.78,289.28,2023-01-01,12:39,Cash,275.5,5.0,13.78,4.8
449-52-8464,C,Mandalay,Normal,Female,Home and lifestyle,55.1,6,16.53,347.13,2023-04-10,15:11,Ewallet,330.6,5.0,16.53,4.8
194-70-2522,B,Mandalay,Normal,Male,Sports and travel,55.1,8,22.04,462.84,2023-05-10,12:56,Cash,440.8,5.0,22.04,4.8
353-88-2698,A,Yangon,Normal,Female,Fashion accessories,55.1,1,2.76,57.86,2023-10-10,10:32,Ewallet,55.1,5.01,2.76,4.8
